_u,_v,re(NearPoyntingZ)*0.000025[irrad_W_per_m2]
-0.5,-0.5,4.17721e-07
-0.489899,-0.5,4.26407e-07
-0.479798,-0.5,4.35021e-07
-0.469697,-0.5,4.43525e-07
-0.459596,-0.5,4.51875e-07
-0.449495,-0.5,4.60024e-07
-0.439394,-0.5,4.6792e-07
-0.429293,-0.5,4.75507e-07
-0.419192,-0.5,4.82723e-07
-0.409091,-0.5,4.89503e-07
-0.39899,-0.5,4.95777e-07
-0.388889,-0.5,5.01469e-07
-0.378788,-0.5,5.06501e-07
-0.368687,-0.5,5.1073e-07
-0.358586,-0.5,5.14219e-07
-0.348485,-0.5,5.1689e-07
-0.338384,-0.5,5.18666e-07
-0.328283,-0.5,5.19466e-07
-0.318182,-0.5,5.19209e-07
-0.308081,-0.5,5.17815e-07
-0.29798,-0.5,5.15202e-07
-0.287879,-0.5,5.11295e-07
-0.277778,-0.5,5.06026e-07
-0.267677,-0.5,4.99336e-07
-0.257576,-0.5,4.91184e-07
-0.247475,-0.5,4.81731e-07
-0.237374,-0.5,4.70978e-07
-0.227273,-0.5,4.58859e-07
-0.217172,-0.5,4.4545e-07
-0.207071,-0.5,4.30855e-07
-0.19697,-0.5,4.15203e-07
-0.186869,-0.5,3.98645e-07
-0.176768,-0.5,3.81351e-07
-0.166667,-0.5,3.63507e-07
-0.156566,-0.5,3.4531e-07
-0.146465,-0.5,3.26962e-07
-0.136364,-0.5,3.08663e-07
-0.126263,-0.5,2.90607e-07
-0.116162,-0.5,2.72254e-07
-0.106061,-0.5,2.55787e-07
-0.0959596,-0.5,2.40248e-07
-0.0858586,-0.5,2.25778e-07
-0.0757576,-0.5,2.12494e-07
-0.0656566,-0.5,2.00493e-07
-0.0555556,-0.5,1.89844e-07
-0.0454545,-0.5,1.80595e-07
-0.0353535,-0.5,1.72774e-07
-0.0252525,-0.5,1.6639e-07
-0.0151515,-0.5,1.61439e-07
-0.00505051,-0.5,1.57908e-07
0.00505051,-0.5,1.55881e-07
0.0151515,-0.5,1.54587e-07
0.0252525,-0.5,1.5467e-07
0.0353535,-0.5,1.56021e-07
0.0454545,-0.5,1.58552e-07
